,precision,recall,f1-score,support
angry,0.9873417721518988,0.975,0.9811320754716981,80.0
disgust,1.0,1.0,1.0,80.0
fear,0.9875,0.9875,0.9875,80.0
happy,1.0,0.9875,0.9937106918238994,80.0
neutral,1.0,1.0,1.0,80.0
ps,0.975609756097561,1.0,0.9876543209876543,80.0
sad,1.0,1.0,1.0,80.0
accuracy,0.9928571428571429,0.9928571428571429,0.9928571428571429,0.9928571428571429
macro avg,0.99292164689278,0.9928571428571429,0.9928567268976074,560.0
weighted avg,0.99292164689278,0.9928571428571429,0.9928567268976073,560.0
